surface,normalized,catalog_count,status,reason
мокко рогожка 67 см,мокко рогожка 67 см,1,review_only_not_auto_applied,no_safe_anchor
монстры,монстры,1,review_only_not_auto_applied,no_safe_anchor
морской,морской,1,review_only_not_auto_applied,no_safe_anchor
морской лед,морской лед,1,review_only_not_auto_applied,no_safe_anchor
мультикам,мультикам,1,review_only_not_auto_applied,no_safe_anchor
натуральное дерево madera03,натуральное дерево madera03,1,review_only_not_auto_applied,no_safe_anchor
натуральное дерево ophelia02,натуральное дерево ophelia02,1,review_only_not_auto_applied,no_safe_anchor
натуральное дерево с эффектом старины,натуральное дерево с эффектом старины,1,review_only_not_auto_applied,no_safe_anchor
натуральный дуб,натуральный дуб,1,review_only_not_auto_applied,no_safe_anchor
нерж. сталь/ зеркальный,нерж сталь зеркальный,1,review_only_not_auto_applied,no_safe_anchor
нерж. стальрж.сталь,нерж стальрж сталь,1,review_only_not_auto_applied,no_safe_anchor
неро,неро,1,review_only_not_auto_applied,no_safe_anchor
ножки светлый бук столешница стекло,ножки светлый бук столешница стекло,1,review_only_not_auto_applied,no_safe_anchor
облепиха,облепиха,1,review_only_not_auto_applied,no_safe_anchor
орех гварнери,орех гварнери,1,review_only_not_auto_applied,no_safe_anchor
орех + дуб сонома,орех дуб сонома,1,review_only_not_auto_applied,no_safe_anchor
орех кантри,орех кантри,1,review_only_not_auto_applied,no_safe_anchor
орех линкольн,орех линкольн,1,review_only_not_auto_applied,no_safe_anchor
орех матовый,орех матовый,1,review_only_not_auto_applied,no_safe_anchor
орхидея,орхидея,1,review_only_not_auto_applied,no_safe_anchor
печаный песок,печаный песок,1,review_only_not_auto_applied,no_safe_anchor
пицца,пицца,1,review_only_not_auto_applied,no_safe_anchor
плам,плам,1,review_only_not_auto_applied,no_safe_anchor
полированная сталь,полированная сталь,1,review_only_not_auto_applied,no_safe_anchor
полярная лазурь,полярная лазурь,1,review_only_not_auto_applied,no_safe_anchor
принцессы,принцессы,1,review_only_not_auto_applied,no_safe_anchor
пустынный,пустынный,1,review_only_not_auto_applied,no_safe_anchor
рыжий/натур,рыжий натур,1,review_only_not_auto_applied,no_safe_anchor
рыжий/терра,рыжий терра,1,review_only_not_auto_applied,no_safe_anchor
с линиями на сливовом,с линиями на сливовом,1,review_only_not_auto_applied,no_safe_anchor
сапфир,сапфир,1,review_only_not_auto_applied,no_safe_anchor
свежая мята,свежая мята,1,review_only_not_auto_applied,no_safe_anchor
светлый аквамарин,светлый аквамарин,1,review_only_not_auto_applied,no_safe_anchor
светлый дуб,светлый дуб,1,review_only_not_auto_applied,no_safe_anchor
светлый каспий,светлый каспий,1,review_only_not_auto_applied,no_safe_anchor
сенд,сенд,1,review_only_not_auto_applied,no_safe_anchor
серебирстый,серебирстый,1,review_only_not_auto_applied,no_safe_anchor
сирень,сирень,1,review_only_not_auto_applied,no_safe_anchor
слоники,слоники,1,review_only_not_auto_applied,no_safe_anchor
снежный,снежный,1,review_only_not_auto_applied,no_safe_anchor
сосновый лес,сосновый лес,1,review_only_not_auto_applied,no_safe_anchor
спелая слива,спелая слива,1,review_only_not_auto_applied,no_safe_anchor
сталь,сталь,1,review_only_not_auto_applied,no_safe_anchor
сталь матовая сатин,сталь матовая сатин,1,review_only_not_auto_applied,no_safe_anchor
стил грей балу,стил грей балу,1,review_only_not_auto_applied,no_safe_anchor
столешница дуб анкона ножки анкона+перламутр,столешница дуб анкона ножки анкона перламутр,1,review_only_not_auto_applied,no_safe_anchor
табак эвкалипт,табак эвкалипт,1,review_only_not_auto_applied,no_safe_anchor
тедди 014,тедди 014,1,review_only_not_auto_applied,no_safe_anchor
темный коньяк,темный коньяк,1,review_only_not_auto_applied,no_safe_anchor
темный орех /мокка,темный орех мокка,1,review_only_not_auto_applied,no_safe_anchor
темный топаз,темный топаз,1,review_only_not_auto_applied,no_safe_anchor
терракота,терракота,1,review_only_not_auto_applied,no_safe_anchor
тм58,тм58,1,review_only_not_auto_applied,no_safe_anchor
тм62,тм62,1,review_only_not_auto_applied,no_safe_anchor
тм68,тм68,1,review_only_not_auto_applied,no_safe_anchor
тм89,тм89,1,review_only_not_auto_applied,no_safe_anchor
тм90,тм90,1,review_only_not_auto_applied,no_safe_anchor
ультра грей,ультра грей,1,review_only_not_auto_applied,no_safe_anchor
ультра смок,ультра смок,1,review_only_not_auto_applied,no_safe_anchor
ультра стоун,ультра стоун,1,review_only_not_auto_applied,no_safe_anchor
ультрафиолет,ультрафиолет,1,review_only_not_auto_applied,no_safe_anchor
умбер,умбер,1,review_only_not_auto_applied,no_safe_anchor
фиолет велюр mj9 58,фиолет велюр mj9 58,1,review_only_not_auto_applied,no_safe_anchor
фисташка микровелюр каркас цвет ольха,фисташка микровелюр каркас цвет ольха,1,review_only_not_auto_applied,no_safe_anchor
фламинго,фламинго,1,review_only_not_auto_applied,no_safe_anchor
форвард 750,форвард 750,1,review_only_not_auto_applied,no_safe_anchor
цитрусовый фреш,цитрусовый фреш,1,review_only_not_auto_applied,no_safe_anchor
чернильный,чернильный,1,review_only_not_auto_applied,no_safe_anchor
черри,черри,1,review_only_not_auto_applied,no_safe_anchor
шапмань,шапмань,1,review_only_not_auto_applied,no_safe_anchor
шарли бриз/шарли мокко,шарли бриз шарли мокко,1,review_only_not_auto_applied,no_safe_anchor
шарли пинк/шарли бриз,шарли пинк шарли бриз,1,review_only_not_auto_applied,no_safe_anchor
шимо,шимо,1,review_only_not_auto_applied,no_safe_anchor
шимо темный,шимо темный,1,review_only_not_auto_applied,no_safe_anchor
шимо темный шимо светлый,шимо темный шимо светлый,1,review_only_not_auto_applied,no_safe_anchor
шиншилла/асканит,шиншилла асканит,1,review_only_not_auto_applied,no_safe_anchor
шоколад/табак,шоколад табак,1,review_only_not_auto_applied,no_safe_anchor
штейн,штейн,1,review_only_not_auto_applied,no_safe_anchor
эмили блаш / крем,эмили блаш крем,1,review_only_not_auto_applied,no_safe_anchor
юта,юта,1,review_only_not_auto_applied,no_safe_anchor
ясень анкор,ясень анкор,1,review_only_not_auto_applied,no_safe_anchor
ясень анкор светлый и крем вайс,ясень анкор светлый и крем вайс,1,review_only_not_auto_applied,no_safe_anchor
ясень анкор светлый и ясень анкор темный,ясень анкор светлый и ясень анкор темный,1,review_only_not_auto_applied,no_safe_anchor
ясень анкор темный и ясень анкор светлый,ясень анкор темный и ясень анкор светлый,1,review_only_not_auto_applied,no_safe_anchor
ясень матовый,ясень матовый,1,review_only_not_auto_applied,no_safe_anchor
ясень шимо,ясень шимо,1,review_only_not_auto_applied,no_safe_anchor
