color_id,canonical,surface,normalized,source,catalog_count,mapping_reason,active,version
sand,песочный,sandy crisp,sandy crisp,catalog_color_attributes,378,color_anchor,true,catalog_palette_30_v1
white,белый,bright white,bright white,catalog_color_attributes,378,color_anchor,true,catalog_palette_30_v1
brown,коричневый,дуб сонома,дуб сонома,manual_palette,375,manual_alias,true,catalog_palette_30_v1
beige,бежевый,светло бежевый,светло бежевый,catalog_color_attributes,372,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ нержавеющая сталь,черный нержавеющая сталь,catalog_color_attributes,364,multiple_color_anchors,true,catalog_palette_30_v1
blue,синий,blue,blue,manual_palette,359,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ синий,белый синий,catalog_color_attributes,357,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,синий/ черный,синий черный,catalog_color_attributes,349,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,бежевый/ белый/ разноцветный,бежевый белый разноцветный,catalog_color_attributes,341,multiple_color_anchors,true,catalog_palette_30_v1
green,зеленый,оливковый,оливковый,manual_palette,335,manual_alias,true,catalog_palette_30_v1
silver,серебристый,silver,silver,manual_palette,325,manual_alias,true,catalog_palette_30_v1
burgundy,бордовый,бордовый,бордовый,manual_palette,321,manual_alias,true,catalog_palette_30_v1
lilac,сиреневый,сиреневый,сиреневый,manual_palette,309,manual_alias,true,catalog_palette_30_v1
silver,серебристый,никель,никель,manual_palette,301,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,оранжевый/ черный,оранжевый черный,catalog_color_attributes,298,multiple_color_anchors,true,catalog_palette_30_v1
brown,коричневый,венге,венге,manual_palette,294,manual_alias,true,catalog_palette_30_v1
copper,медный,медный,медный,manual_palette,289,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,графит/ серый,графит серый,catalog_color_attributes,267,multiple_color_anchors,true,catalog_palette_30_v1
brown,коричневый,светло коричневый,светло коричневый,catalog_color_attributes,259,color_anchor,true,catalog_palette_30_v1
green,зеленый,светло зеленый,светло зеленый,catalog_color_attributes,259,color_anchor,true,catalog_palette_30_v1
black,черный,алюминий/ черный,алюминий черный,catalog_color_attributes,257,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ голубой,белый голубой,catalog_color_attributes,257,multiple_color_anchors,true,catalog_palette_30_v1
cream,кремовый,молочный,молочный,manual_palette,247,manual_alias,true,catalog_palette_30_v1
purple,фиолетовый,лавандовый,лавандовый,manual_palette,247,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ серебристый,белый серебристый,catalog_color_attributes,236,multiple_color_anchors,true,catalog_palette_30_v1
gold,золотистый,розовое золото,розовое золото,manual_palette,234,manual_alias,true,catalog_palette_30_v1
green,зеленый,темно зеленый,темно зеленый,catalog_color_attributes,232,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,зеленый/ черный,зеленый черный,catalog_color_attributes,230,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ золотистый,черный золотистый,catalog_color_attributes,223,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,коричневый/ бежевый,коричневый бежевый,catalog_color_attributes,221,multiple_color_anchors,true,catalog_palette_30_v1
gold,золотистый,латунь,латунь,manual_palette,220,manual_alias,true,catalog_palette_30_v1
silver,серебристый,серебряный,серебряный,manual_palette,217,manual_alias,true,catalog_palette_30_v1
black,черный,черное стекло,черное стекло,catalog_color_attributes,212,color_anchor,true,catalog_palette_30_v1
orange,оранжевый,cosmic orange,cosmic orange,catalog_color_attributes,200,color_anchor,true,catalog_palette_30_v1
black,черный,темная ночь,темная ночь,manual_palette,198,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ зеленый,черный зеленый,catalog_color_attributes,192,multiple_color_anchors,true,catalog_palette_30_v1
orange,оранжевый,космический оранжевый,космический оранжевый,catalog_color_attributes,191,color_anchor,true,catalog_palette_30_v1
black,черный,угольно черный,угольно черный,catalog_color_attributes,190,color_anchor,true,catalog_palette_30_v1
white,белый,белый глянцевый,белый глянцевый,catalog_color_attributes,188,color_anchor,true,catalog_palette_30_v1
silver,серебристый,серебро,серебро,manual_palette,187,manual_alias,true,catalog_palette_30_v1
gray,серый,серый космос,серый космос,manual_palette,181,manual_alias,true,catalog_palette_30_v1
